,PETR4.SA.OPEN,PETR4.SA.HIGH,PETR4.SA.LOW,PETR4.SA.CLOSE,PETR4.SA.VOLUME,PETR4.SA.ADJUSTED,FECHAMENTO,
2016-01-04,6.57,7.03,6.55,6.87,45962100,6.590737,ALTA,
2016-01-05,6.92,7.00,6.62,6.68,29446700,6.408460,BAIXA,
2016-01-06,6.53,6.54,6.40,6.40,67507200,6.139843,BAIXA,
2016-01-07,6.19,6.43,6.08,6.26,57387900,6.005534,ALTA,
2016-01-08,6.38,6.45,6.13,6.27,52100300,6.015127,BAIXA,
2016-01-11,6.27,6.30,6.05,6.09,51334000,5.842444,BAIXA,
2016-01-12,6.12,6.12,5.51,5.53,81627800,5.305208,BAIXA,
2016-01-13,5.70,5.74,5.25,5.27,70874300,5.055776,BAIXA,
2016-01-14,5.31,5.69,5.13,5.69,76854200,5.458704,ALTA,
2016-01-15,5.35,5.44,5.16,5.17,75571500,4.959842,BAIXA,
2016-01-18,5.19,5.21,4.80,4.80,46407200,4.604882,BAIXA,
2016-01-19,5.03,5.05,4.64,4.66,66529300,4.470572,BAIXA,
2016-01-20,4.50,4.50,4.26,4.43,92914100,4.249922,BAIXA,
2016-01-21,4.37,4.67,4.36,4.50,87455300,4.317077,ALTA,
2016-01-22,4.73,4.77,4.40,4.41,100576600,4.230735,BAIXA,
2016-01-26,4.23,4.31,4.12,4.20,71933300,4.029272,BAIXA,
2016-01-27,4.22,4.64,4.16,4.57,79437900,4.384232,ALTA,
2016-01-28,4.67,5.13,4.35,4.60,131960900,4.413012,BAIXA,
2016-01-29,4.70,4.86,4.52,4.84,93013900,4.643256,ALTA,
2016-02-01,4.74,4.86,4.66,4.72,51910300,4.528134,BAIXA,
2016-02-02,4.56,4.65,4.30,4.30,53610300,4.125206,BAIXA,
2016-02-03,4.42,4.52,4.22,4.49,73786400,4.307483,ALTA,
2016-02-04,4.56,4.94,4.36,4.73,91974200,4.537727,ALTA,
2016-02-05,4.73,4.78,4.53,4.54,52704500,4.355451,BAIXA,
2016-02-10,4.30,4.41,4.28,4.31,45747400,4.134800,ALTA,
2016-02-11,4.20,4.27,4.12,4.23,59451500,4.058053,ALTA,
2016-02-12,4.37,4.51,4.30,4.45,64027200,4.269110,ALTA,
2016-02-15,4.56,4.60,4.52,4.57,28490400,4.384232,ALTA,
2016-02-16,4.50,4.64,4.42,4.44,80343900,4.259516,BAIXA,
2016-02-17,4.54,4.82,4.51,4.68,84473100,4.489759,ALTA,
2016-02-18,4.69,4.87,4.55,4.59,65026900,4.403418,BAIXA,
2016-02-19,4.50,4.57,4.40,4.46,56031000,4.278702,BAIXA,
2016-02-22,4.67,5.04,4.63,5.04,80150300,4.835126,ALTA,
2016-02-23,4.95,5.28,4.82,4.92,85037400,4.720004,BAIXA,
2016-02-24,4.77,4.93,4.65,4.87,75039700,4.672036,ALTA,
2016-02-25,4.81,5.08,4.79,4.89,70393700,4.691223,ALTA,
2016-02-26,5.02,5.10,4.83,4.87,61396800,4.672036,BAIXA,
2016-02-29,5.08,5.23,4.98,5.14,84165000,4.931061,ALTA,
2016-03-01,5.31,5.37,5.10,5.31,80939200,5.094151,ESTAVEL,
2016-03-02,5.21,5.65,5.15,5.65,88545800,5.420330,ALTA,
2016-03-03,6.57,6.57,6.57,6.57,186772500,6.302932,ESTAVEL,
2016-03-04,6.57,7.90,6.57,7.22,175922100,6.926509,ALTA,
2016-03-07,7.25,7.53,6.95,7.37,85041400,7.070412,ALTA,
2016-03-08,7.37,7.84,7.08,7.47,137169400,7.166348,ALTA,
2016-03-09,7.70,7.78,7.36,7.60,84821900,7.291063,BAIXA,
2016-03-10,7.80,7.96,7.31,7.95,117672300,7.626836,ALTA,
2016-03-11,7.94,8.22,7.67,8.09,92331300,7.761144,ALTA,
2016-03-14,8.13,8.20,7.40,7.40,86084700,7.099193,BAIXA,
2016-03-15,6.83,6.96,6.56,6.61,104913200,6.341306,BAIXA,
2016-03-16,6.51,7.23,6.41,7.23,85533000,6.936103,ALTA,
2016-03-17,8.15,8.19,7.71,8.10,118294200,7.770739,BAIXA,
2016-03-18,8.09,8.17,7.72,8.12,77182400,7.789925,ALTA,
2016-03-21,8.08,8.27,7.93,8.06,65837300,7.732365,BAIXA,
2016-03-22,7.85,8.18,7.73,8.11,84549700,7.780332,ALTA,
2016-03-23,7.88,7.96,7.66,7.78,61437900,7.463746,BAIXA,
2016-03-24,7.53,8.00,7.32,7.81,52343300,7.492526,ALTA,
2016-03-28,8.15,8.48,7.91,8.44,69818700,8.096917,ALTA,
2016-03-29,8.34,8.85,8.19,8.49,89050200,8.144885,ALTA,
2016-03-30,8.70,9.00,8.28,8.44,90059600,8.096917,BAIXA,
2016-03-31,8.31,8.31,8.31,8.31,737700,7.972203,ESTAVEL,
2016-04-01,8.36,8.36,8.36,8.36,374500,8.020169,ESTAVEL,
2016-04-04,7.54,7.54,7.54,7.54,865300,7.233502,ESTAVEL,
2016-04-05,7.80,7.80,7.80,7.80,684100,7.482934,ESTAVEL,
2016-04-06,7.58,7.58,7.58,7.58,457400,7.271876,ESTAVEL,
2016-04-07,7.70,7.70,7.70,7.70,324800,7.386998,ESTAVEL,
2016-04-08,8.13,8.34,8.04,8.26,84448200,7.924235,ALTA,
2016-04-11,8.39,8.39,8.39,8.39,449600,8.048950,ESTAVEL,
2016-04-12,9.04,9.04,9.04,9.04,648900,8.672527,ESTAVEL,
2016-04-13,9.49,9.49,9.49,9.49,782300,9.104236,ESTAVEL,
2016-04-14,9.73,9.77,9.12,9.16,77355500,8.787649,BAIXA,
2016-04-15,9.25,9.83,9.07,9.69,95590000,9.296104,ALTA,
2016-04-18,9.65,9.72,8.89,9.24,88873100,8.864397,BAIXA,
2016-04-19,9.61,9.61,9.61,9.61,370500,9.219357,ESTAVEL,
2016-04-20,9.40,9.64,9.34,9.48,53295800,9.094641,ALTA,
2016-04-22,9.32,9.93,9.29,9.75,63322900,9.353667,ALTA,
2016-04-25,9.71,9.90,9.33,9.33,56585400,8.950739,BAIXA,
2016-04-26,9.48,9.74,9.34,9.67,40460400,9.276918,ALTA,
2016-04-27,9.85,10.30,9.77,10.25,86397900,9.833342,ALTA,
2016-04-28,10.23,10.54,10.08,10.23,57741500,9.814154,ESTAVEL,
2016-04-29,10.23,10.54,10.01,10.23,53931300,9.814154,ESTAVEL,
2016-05-02,10.25,10.36,9.93,10.17,48618800,9.756594,BAIXA,
2016-05-03,10.01,10.09,9.71,9.78,47074700,9.382446,BAIXA,
2016-05-04,9.85,10.15,9.85,9.92,43389500,9.516756,ALTA,
2016-05-05,10.28,10.30,9.60,9.81,65074500,9.411228,BAIXA,
2016-05-06,9.63,10.13,9.58,10.08,45330900,9.670253,ALTA,
2016-05-09,10.01,10.05,8.84,9.48,94688100,9.094641,BAIXA,
2016-05-10,9.82,10.21,9.72,10.21,53055800,9.794967,ALTA,
2016-05-11,10.39,10.50,9.99,10.25,74542300,9.833342,BAIXA,
2016-05-12,10.40,10.47,9.79,9.79,67229100,9.392040,BAIXA,
2016-05-13,9.93,10.06,9.39,9.46,70472200,9.075455,BAIXA,
2016-05-16,9.55,9.85,9.52,9.75,61487700,9.353667,ALTA,
2016-05-17,9.83,9.88,9.46,9.50,46379500,9.113829,BAIXA,
2016-05-18,9.31,9.65,9.27,9.32,51929100,8.941145,ALTA,
2016-05-19,9.25,9.25,8.65,8.96,75430200,8.595780,BAIXA,
2016-05-20,9.20,9.46,8.90,8.90,65173100,8.538219,BAIXA,
2016-05-23,8.55,8.67,8.42,8.50,51330000,8.154479,BAIXA,
2016-05-24,8.69,8.85,8.45,8.53,44823400,8.183259,BAIXA,
2016-05-25,8.68,8.94,8.59,8.67,45512600,8.317568,BAIXA,
2016-05-27,8.50,8.57,8.23,8.23,47488600,7.895454,BAIXA,
2016-05-30,8.18,8.62,8.06,8.38,32281900,8.039356,ALTA,
2016-05-31,8.36,8.57,8.04,8.04,58662600,7.713177,BAIXA,
2016-06-01,8.09,8.25,7.86,8.18,45884400,7.847486,ALTA,
2016-06-02,8.19,8.41,8.03,8.32,52835100,7.981795,ALTA,
2016-06-03,8.51,8.67,8.45,8.57,45595300,8.221633,ALTA,
2016-06-06,8.70,8.78,8.45,8.46,37117600,8.116105,BAIXA,
2016-06-07,8.42,8.72,8.39,8.62,34401600,8.269601,ALTA,
2016-06-08,8.80,9.41,8.80,9.39,77194700,9.008300,ALTA,
2016-06-09,9.28,9.38,9.05,9.18,46539900,8.806836,BAIXA,
2016-06-10,8.97,8.99,8.78,8.78,38859900,8.423096,BAIXA,
2016-06-13,8.58,8.84,8.52,8.62,37094100,8.269601,ALTA,
2016-06-14,8.60,8.77,8.25,8.30,66180300,7.962608,BAIXA,
2016-06-15,8.30,8.69,8.27,8.51,84556900,8.164072,ALTA,
2016-06-16,8.41,8.54,8.28,8.50,46834500,8.154479,ALTA,
2016-06-17,8.75,8.95,8.73,8.95,63144100,8.586186,ALTA,
2016-06-20,9.22,9.37,9.12,9.18,63791500,8.806836,BAIXA,
2016-06-21,9.09,9.54,8.94,9.53,53703900,9.142609,ALTA,
2016-06-22,9.61,9.75,9.34,9.34,61983000,8.960333,BAIXA,
2016-06-23,9.59,9.70,9.51,9.67,48031300,9.276918,ALTA,
2016-06-24,9.00,9.33,8.92,9.25,75974900,8.873990,ALTA,
2016-06-27,9.22,9.34,8.78,8.78,58818400,8.423096,BAIXA,
2016-06-28,9.10,9.28,9.07,9.20,45291700,8.826023,ALTA,
2016-06-29,9.43,9.57,9.32,9.50,56093600,9.113829,ALTA,
2016-06-30,9.42,9.49,9.24,9.42,43741300,9.037081,ESTAVEL,
2016-07-01,9.48,9.85,9.37,9.82,49290800,9.420821,ALTA,
2016-07-04,9.95,10.05,9.79,9.87,24505100,9.468789,BAIXA,
2016-07-05,9.65,9.67,9.23,9.29,69691200,8.912365,BAIXA,
2016-07-06,9.09,9.52,8.95,9.50,68781500,9.113829,ALTA,
2016-07-07,9.66,9.98,9.52,9.56,81610300,9.171391,BAIXA,
2016-07-08,9.85,9.94,9.67,9.84,42647600,9.440008,BAIXA,
2016-07-11,10.00,10.37,9.98,10.36,66717300,9.938869,ALTA,
2016-07-12,10.61,10.80,10.58,10.65,58174200,10.217081,ALTA,
2016-07-13,10.47,10.63,10.21,10.63,64252100,10.197894,ALTA,
2016-07-14,10.92,10.98,10.66,10.93,53059500,10.485701,ALTA,
2016-07-15,10.91,11.06,10.82,11.02,51223500,10.572042,ALTA,
2016-07-18,10.97,11.74,10.87,11.55,77358900,11.080498,ALTA,
2016-07-19,11.51,11.97,11.50,11.78,53692000,11.301147,ALTA,
2016-07-20,11.82,11.90,11.54,11.82,49261200,11.339521,ESTAVEL,
2016-07-21,11.77,11.99,11.73,11.85,37748600,11.368302,ALTA,
2016-07-22,11.84,11.97,11.72,11.94,33938400,11.454644,ALTA,
2016-07-25,11.98,12.25,11.91,12.03,47192000,11.540985,ALTA,
2016-07-26,11.95,12.07,11.85,11.88,38304800,11.397083,BAIXA,
2016-07-27,11.99,12.04,11.51,11.51,51952100,11.042123,BAIXA,
2016-07-28,11.40,11.55,11.15,11.44,40663100,10.974969,BAIXA,
2016-07-29,11.76,11.98,11.61,11.87,60740000,11.387490,ALTA,
2016-08-01,11.93,11.97,11.22,11.25,52012300,10.792692,BAIXA,
2016-08-02,11.33,11.62,11.10,11.36,49134600,10.898220,ALTA,
2016-08-03,11.58,11.90,11.33,11.90,55695500,11.416269,ALTA,
